"gen_model","hierch","kappa_mean","K_true","fit_model","zetaW_blk_mean","zetaW_blk_lo","zetaW_blk_hi","zetaS_blk_mean","zetaS_blk_lo","zetaS_blk_hi","cov_block_emp_mean"
"SST","weak",0.75,3,"SST",0.985172266774275,0.968062693568085,0.996429236981915,0.476410088380648,0.0644290147721708,0.876207026907557,0.51585376984127
"SST","weak",0.75,3,"WST",0.972015950807503,0.935785927234552,0.995805316709608,0.392379568311461,0.0395844193584984,0.84199488662716,0.503111111111111
"SST","weak",0.75,3,"DC-SBM",0.882211773223572,0.834066365829497,0.942622793118884,0.412679750753483,0.236467871788949,0.522876968107422,0.338686944444444
"SST","weak",0.75,5,"SST",0.960798282862593,0.914515568433401,0.993115896798617,0.571835820660812,0.509063442343158,0.64605011674873,0.752102085126203
"SST","weak",0.75,5,"WST",0.9552355316769,0.89984006100747,0.98406887215082,0.54301894465995,0.471417396044072,0.60033381557178,0.732907863432863
"SST","weak",0.75,5,"DC-SBM",0.938820612532247,0.882933506915596,0.994864228308205,0.605806237462325,0.534653074636829,0.70060654943973,0.808396235449735
"SST","weak",0.75,8,"SST",0.988559026411175,0.976099879534564,0.995613140001104,0.642831673908437,0.620813597009069,0.660573102061276,0.880301476114815
"SST","weak",0.75,8,"WST",0.980006511192052,0.957440176759563,0.998660373506619,0.655749507807719,0.59361353647389,0.720954089758705,0.867871825396826
"SST","weak",0.75,8,"DC-SBM",0.962596567000428,0.928838134526933,0.996425748411772,0.639519254237258,0.575983020654102,0.709972893984909,0.871317358419359
"SST","weak",1.5,3,"SST",0.997010037348273,0.990565608465609,0.99980925925926,0.894048247354497,0.662452063492064,0.993199107142857,0.763288888888889
"SST","weak",1.5,3,"WST",0.990919801462316,0.98774610264762,0.993643647076829,0.856892792166768,0.596886339039748,0.974523815905247,0.775563888888889
"SST","weak",1.5,3,"DC-SBM",1,1,1,1,1,1,0.75
"SST","weak",1.5,5,"SST",0.999041965606214,0.997274915227949,0.99993687814307,0.90337675423844,0.881671286815024,0.928600347638194,0.93013373015873
"SST","weak",1.5,5,"WST",0.997870924983032,0.99556339355909,0.99968855095956,0.857146450190237,0.718339306197173,0.967277979083121,0.923696031746032
"SST","weak",1.5,5,"DC-SBM",1,1,1,0.846206074304629,0.670218430413517,0.940673333333333,0.915727777777778
"SST","weak",1.5,8,"SST",0.998972952796735,0.998381531032359,0.999548219938953,0.804343227764051,0.717147150306875,0.849793548280407,0.917954334707432
"SST","weak",1.5,8,"WST",0.998773141819735,0.997410125151838,0.999695198471638,0.800645165679994,0.711332563076057,0.851243499334163,0.914367676767677
"SST","weak",1.5,8,"DC-SBM",0.999825708061002,0.999523311546841,1,0.814503304496883,0.72234105026455,0.86127797877939,0.923260582010582
"SST","weak",3,3,"SST",0.962398474719838,0.872658531746032,0.999988886419204,0.65441916677398,0.16357927910053,0.999423702445341,0.751955555555555
"SST","weak",3,3,"WST",0.907144263409489,0.686733566592702,0.999988888888889,0.602958016340101,0.148093865242953,0.998516666666667,0.750891666666667
"SST","weak",3,3,"DC-SBM",1,1,1,0.679037037037037,0.1334,1,0.75
"SST","weak",3,5,"SST",0.999807274640813,0.999628071939272,0.999977444391736,0.958168490554516,0.872922305499887,0.99636297799508,0.924233002645503
"SST","weak",3,5,"WST",0.999926704014939,0.999824649859943,0.999994117647059,0.960433994429247,0.871895907856826,0.999834494720965,0.924069841269841
"SST","weak",3,5,"DC-SBM",1,1,1,0.963435714285714,0.878061428571428,1,0.924666666666667
"SST","weak",3,8,"SST",0.978835156998353,0.942067017394001,0.999970114339215,0.749754846320907,0.638525437444189,0.85294713744132,0.837360863673364
"SST","weak",3,8,"WST",0.97891268981947,0.942129841651812,0.999990682693142,0.750013389734924,0.638632044743263,0.852826271835941,0.838675793650794
"SST","weak",3,8,"DC-SBM",0.978970454434876,0.942225035274656,1,0.750985762708723,0.638764705882353,0.855518259876324,0.839280753968254
"SST","weak",6,3,"SST",0.999944432096021,0.999811069126472,1,0.990007084907757,0.966607422019708,1,0.998486111111111
"SST","weak",6,3,"WST",0.944444444444445,0.811111111111111,1,0.8315,0.432233333333333,1,0.750472222222222
"SST","weak",6,3,"DC-SBM",1,1,1,1,1,1,0.75
"SST","weak",6,5,"SST",0.999968783068783,0.999893862433862,1,0.938426554232804,0.861825284391534,0.999758333333333,0.925163888888889
"SST","weak",6,5,"WST",1,1,1,0.939285714285714,0.863571428571428,1,0.925
"SST","weak",6,5,"DC-SBM",1,1,1,0.939285714285714,0.863571428571428,1,0.925
"SST","weak",6,8,"SST",0.999990513152603,0.999967744718851,1,0.881723495934997,0.807820203639308,0.965039682539683,0.90144708994709
"SST","weak",6,8,"WST",0.999998116760829,0.999993596986817,1,0.887480124583514,0.808503852155378,0.983928571428571,0.886592592592593
"SST","weak",6,8,"DC-SBM",1,1,1,0.881944444444445,0.808571428571429,0.965039682539683,0.901785714285715
"SST","strong",0.75,3,"SST",0.999978213507625,0.999935076252723,1,0.979523096375303,0.965825576923077,0.991143036223036,0.99370873015873
"SST","strong",0.75,3,"WST",0.999057507262164,0.997037545388526,0.999977205882353,0.983872729276896,0.975298506847184,0.994621296296296,0.988902777777778
"SST","strong",0.75,3,"DC-SBM",0.999898148148148,0.999653703703704,1,0.98521207010582,0.963966686507936,0.999408333333333,0.9848
"SST","strong",0.75,5,"SST",0.999901827592715,0.999794318400028,0.999983619249804,0.908323332240852,0.859831257784031,0.958898689312073,0.989004449254449
"SST","strong",0.75,5,"WST",0.999984204793028,0.999955446623094,1,0.985757817849362,0.957690367647059,0.999505156395892,0.999745238095238
"SST","strong",0.75,5,"DC-SBM",0.999983660130719,0.999953594771242,1,0.961792417672197,0.881606115510307,0.999847777777778,0.999261111111111
"SST","strong",0.75,8,"SST",0.997224253153892,0.991901587753508,0.999782441132672,0.649090478867147,0.603682146601817,0.711624108919782,0.94928715972286
"SST","strong",0.75,8,"WST",0.995128151454391,0.983444865271727,1,0.877578707538695,0.775960824496033,0.978748255494506,0.974291798941799
"SST","strong",0.75,8,"DC-SBM",0.995126163976769,0.983446567583908,1,0.793305501347913,0.646940944691421,0.940337797194769,0.974524669312169
"SST","strong",1.5,3,"SST",1,1,1,0.996176421957672,0.988474834656085,0.999808333333333,0.999025396825397
"SST","strong",1.5,3,"WST",0.999950617283951,0.999832098765433,1,0.996923765432099,0.994033703703703,0.999858333333333,0.998286111111111
"SST","strong",1.5,3,"DC-SBM",1,1,1,0.998025793650794,0.993287698412699,1,0.999983333333333
"SST","strong",1.5,5,"SST",0.999926318985465,0.999799488535608,0.999995729378968,0.931512490531125,0.858427589035815,0.989032235616803,0.997636044973545
"SST","strong",1.5,5,"WST",0.999996732026144,0.999988888888889,1,0.97456697595705,0.914763102240896,0.999947916666666,0.999747222222222
"SST","strong",1.5,5,"DC-SBM",1,1,1,0.939636111111111,0.865059444444444,0.999882222222222,0.999966666666667
"SST","strong",1.5,8,"SST",0.999996269613157,0.999991446478246,1,0.773726993300968,0.692158063212094,0.840052838183485,0.99921611952862
"SST","strong",1.5,8,"WST",1,1,1,0.844888492063492,0.678019761904762,0.984981111111111,0.999925396825397
"SST","strong",1.5,8,"DC-SBM",1,1,1,0.789051362433862,0.690624671957672,0.896597738095238,0.999994047619048
"SST","strong",3,3,"SST",1,1,1,0.9997,0.99898,1,1
"SST","strong",3,3,"WST",1,1,1,0.999861111111111,0.999691666666667,0.999991666666667,0.999722222222222
"SST","strong",3,3,"DC-SBM",1,1,1,1,1,1,1
"SST","strong",3,5,"SST",1,1,1,0.999925,0.999807222222222,1,1
"SST","strong",3,5,"WST",1,1,1,1,1,1,1
"SST","strong",3,5,"DC-SBM",1,1,1,1,1,1,1
"SST","strong",3,8,"SST",1,1,1,0.785655152717653,0.722243650793651,0.849003312890813,0.999976851851852
"SST","strong",3,8,"WST",1,1,1,0.846269841269842,0.775700952380952,0.911603174603175,1
"SST","strong",3,8,"DC-SBM",1,1,1,0.785714285714286,0.722321428571428,0.849107142857143,1
"SST","strong",6,3,"SST",1,1,1,1,1,1,1
"SST","strong",6,3,"WST",1,1,1,1,1,1,1
"SST","strong",6,3,"DC-SBM",1,1,1,1,1,1,1
"SST","strong",6,5,"SST",1,1,1,1,1,1,1
"SST","strong",6,5,"WST",1,1,1,1,1,1,1
"SST","strong",6,5,"DC-SBM",1,1,1,1,1,1,1
"SST","strong",6,8,"SST",1,1,1,0.882338305675806,0.841964285714285,0.932985953583453,0.990099074074074
"SST","strong",6,8,"WST",1,1,1,0.897321428571428,0.841964285714285,0.983928571428571,1
"SST","strong",6,8,"DC-SBM",1,1,1,0.915503968253968,0.847321428571428,0.989480952380952,1
"SST",NA,0.75,3,"SST",0.995025382189455,0.988947373446917,0.999458253711409,0.709731430706755,0.444149536961541,0.958511563864489,0.390513888888889
"SST",NA,0.75,3,"WST",0.985733188765036,0.967305035793745,0.999101775948062,0.475530959783646,0.154917388376088,0.87754369129136,0.449580555555555
"SST",NA,0.75,3,"DC-SBM",0.83246222664428,0.612969573532769,0.983522687826934,0.562977629195021,0.229211018409207,0.933948693436164,0.470359363155363
"SST",NA,0.75,5,"SST",0.997393174620967,0.994730969768188,0.999691609596923,0.757015428154092,0.651539869906638,0.839328301154166,0.921199212361712
"SST",NA,0.75,5,"WST",0.99686527529523,0.994638631841247,0.999512078355973,0.804131553728553,0.64786758081226,0.952337669525582,0.90513287037037
"SST",NA,0.75,5,"DC-SBM",0.951404826207642,0.913681205967672,0.993386837234715,0.667388096319125,0.582573317698275,0.807082059279678,0.828961111111111
"SST",NA,0.75,8,"SST",0.988542882114217,0.972492589746657,0.99935508616015,0.719930741328832,0.563771984226914,0.857458149754496,0.820426075371739
"SST",NA,0.75,8,"WST",0.990843254766447,0.968928325447869,0.999976484644036,0.788141459562324,0.659359828378241,0.915121401928154,0.897255068542569
"SST",NA,0.75,8,"DC-SBM",0.97566752651892,0.917283692728432,0.999998919054801,0.785580743462261,0.587425612917633,0.89329207616519,0.922990367724868
"SST",NA,1.5,3,"SST",0.999839847318856,0.999618723206129,1,0.983398245698886,0.974634777700162,0.996096762311763,0.995910317460317
"SST",NA,1.5,3,"WST",0.998570859314352,0.99695177484787,1,0.983749553426096,0.967407502812747,0.997669126984127,0.990312698412699
"SST",NA,1.5,3,"DC-SBM",1,1,1,1,1,1,1
"SST",NA,1.5,5,"SST",0.99747619536066,0.991834836908532,0.999973943053924,0.9020892315828,0.814660102052199,0.948146219632257,0.979782240907241
"SST",NA,1.5,5,"WST",0.999095822858354,0.996944098371999,1,0.941044139118255,0.825438629086775,0.998938965495289,0.995394246031746
"SST",NA,1.5,5,"DC-SBM",1,1,1,0.933115575396826,0.820216666666667,0.999652678571429,0.999622222222222
"SST",NA,1.5,8,"SST",0.999672552453155,0.998899018478867,0.999996716540155,0.879345641829048,0.842081092364279,0.913110626573218,0.919480133292633
"SST",NA,1.5,8,"WST",0.999930821530119,0.999764793202405,1,0.885649931285405,0.868626054009338,0.902025386243386,0.882111375661376
"SST",NA,1.5,8,"DC-SBM",0.999998575498576,0.999995156695157,1,0.873655467852008,0.837176820855558,0.89630176984127,0.899297817460317
"SST",NA,3,3,"SST",0.999986111111111,0.999952777777777,1,0.998206944444444,0.9943425,0.999833333333333,0.999172222222222
"SST",NA,3,3,"WST",0.999065916699495,0.996824116778284,1,0.993311655755283,0.977556851790185,0.999936111111111,0.992422222222222
"SST",NA,3,3,"DC-SBM",1,1,1,0.999958333333333,0.999858333333333,1,0.999944444444445
"SST",NA,3,5,"SST",0.999996732026144,0.999988888888889,1,0.999355368814193,0.998422222222222,0.999852698412698,0.999947222222223
"SST",NA,3,5,"WST",0.999993464052288,0.999977777777778,1,0.997175081699346,0.990414722222222,1,0.999972222222222
"SST",NA,3,5,"DC-SBM",1,1,1,0.993983333333333,0.979543333333333,1,1
"SST",NA,3,8,"SST",0.999896862829468,0.999695949081048,0.999999141173857,0.885424703602808,0.810408858910899,0.953693928010807,0.993793325438179
"SST",NA,3,8,"WST",1,1,1,0.923420634920635,0.825535714285715,0.984094444444444,0.964285714285714
"SST",NA,3,8,"DC-SBM",1,1,1,0.915143849206349,0.819636904761905,0.979449404761905,1
"SST",NA,6,3,"SST",1,1,1,0.996921428571429,0.99122507936508,0.999966666666667,0.999563888888889
"SST",NA,6,3,"WST",1,1,1,0.999805555555556,0.999377777777778,1,0.999944444444445
"SST",NA,6,3,"DC-SBM",1,1,1,1,1,1,1
"SST",NA,6,5,"SST",1,1,1,0.899848214285714,0.729981111111111,0.999912261904762,0.999955555555555
"SST",NA,6,5,"WST",1,1,1,0.899994444444445,0.729981111111111,1,1
"SST",NA,6,5,"DC-SBM",1,1,1,0.9,0.73,1,1
"SST",NA,6,8,"SST",1,1,1,0.964285714285714,0.90625,0.997321428571429,1
"SST",NA,6,8,"WST",1,1,1,0.964285714285714,0.90625,0.997321428571429,1
"SST",NA,6,8,"DC-SBM",1,1,1,0.964285714285714,0.90625,0.997321428571429,1
"WST","weak",0.75,3,"SST",0.970028556434246,0.94397775649768,0.994528047837343,0.30563422456168,0.0739537848680281,0.471774287768797,0.413244865319865
"WST","weak",0.75,3,"WST",0.965136173260741,0.944321218799074,0.983486677451502,0.253342230210968,0.145833930994223,0.352172401547347,0.40496506965257
"WST","weak",0.75,3,"DC-SBM",0.883399977543494,0.826129037396366,0.979706205807901,0.400246078484728,0.0861014107268883,0.587967188268625,0.739591
"WST","weak",0.75,5,"SST",0.978818446489665,0.96848979643702,0.996735383017857,0.537691704908039,0.253330478147313,0.832409250374197,0.412136624024124
"WST","weak",0.75,5,"WST",0.969426788581242,0.967032344331554,0.972274858652598,0.388399967058568,0.226572754629531,0.636553507009537,0.4342760003885
"WST","weak",0.75,5,"DC-SBM",0.873233640304158,0.852980398208676,0.884888493625528,0.575058035154846,0.528570485943302,0.616313713593972,0.723000111111111
"WST","weak",0.75,8,"SST",0.877142658438776,0.863148688001947,0.895299548576808,0.379372663398301,0.317733073620336,0.452485463569052,0.593166614668871
"WST","weak",0.75,8,"WST",0.857174350197875,0.829515726394035,0.891923428994066,0.340187543269177,0.279145052309986,0.415640670538591,0.590350814562659
"WST","weak",0.75,8,"DC-SBM",0.857075682366701,0.836661508306817,0.875859495915237,0.550897039648058,0.506960759705423,0.589294433204556,0.703960777777778
"WST","weak",1.5,3,"SST",0.978454644697659,0.950155943421906,0.995937011658636,0.561013298069454,0.175067430315674,0.840777883154895,0.562673346560847
