"gen_model","hierch","kappa_mean","K_true","fit_model","n_runs","mean_K_hat","sd_K_hat","prop_K_true","prop_K_under","prop_K_over","mean_ari","sd_ari","mean_vi","mean_elpd","sd_elpd","mean_pk_bad"
"SST","weak",0.75,3,"SST",4,2.25,0.957427107756338,0.5,0.5,0,0.871591887496412,0.256816225007175,0.692578623305983,-3120.35375817817,306.387896825534,0.00451977401129944
"SST","weak",0.75,3,"WST",4,2.25,0.957427107756338,0.5,0.5,0,0.870729949752658,0.258540100494683,0.732689448676093,-3121.55009558964,306.26293961136,0.00847457627118644
"SST","weak",0.75,3,"DC-SBM",4,31,33.4863156129983,0,0.5,0.5,0.249530278429733,0.288433982938182,2.61411717087104,-3226.82914796423,250.200817313838,0.0457627118644068
"SST","weak",0.75,5,"SST",4,5,0.816496580927726,0.5,0.25,0.25,0.835362107525059,0.0952358602730544,0.408384705554024,-2582.37115548252,350.085353351442,0.0778248587570622
"SST","weak",0.75,5,"WST",4,4.75,0.5,0.75,0.25,0,0.844443540098359,0.110787716580457,0.376898291626777,-2549.8114682764,321.92661830794,0.00720338983050849
"SST","weak",0.75,5,"DC-SBM",4,32.5,31.7542648054294,0.5,0,0.5,0.409863409997826,0.473318805114013,2.06937954198736,-2697.41993008918,317.463568523338,0.0501412429378531
"SST","weak",0.75,8,"SST",4,7,1.82574185835055,0.25,0.5,0.25,0.670812852651566,0.298154452501653,0.868613889307214,-4067.10669401178,2047.80115533231,0.197316384180791
"SST","weak",0.75,8,"WST",4,7.5,1,0.75,0.25,0,0.695825470849046,0.247442026052944,0.826052800939032,-2560.85549473286,115.83010797813,0.0096045197740113
"SST","weak",0.75,8,"DC-SBM",4,34,30.0222139978605,0.5,0,0.5,0.42753701948577,0.507660871213303,1.67499494999748,-2661.77785925359,198.669344608414,0.0497175141242938
"SST","weak",1.5,3,"SST",4,2.75,0.5,0.75,0.25,0,0.983679462081879,0.0326410758362415,0.210456437522409,-3876.08158920352,485.263580648161,0.00805084745762712
"SST","weak",1.5,3,"WST",4,2.75,0.5,0.75,0.25,0,0.983679462081879,0.0326410758362415,0.210456437522409,-3872.29917550294,480.203167744621,0.0057909604519774
"SST","weak",1.5,3,"DC-SBM",4,2.75,0.5,0.75,0.25,0,0.983679462081879,0.0326410758362415,0.210456437522409,-3871.41912205028,480.182950119474,0.00423728813559322
"SST","weak",1.5,5,"SST",4,4.5,0.577350269189626,0.5,0.5,0,0.934580130100532,0.130839739798935,0.297180468885217,-3996.90098230063,127.672124716402,0.00706214689265537
"SST","weak",1.5,5,"WST",4,4.5,0.577350269189626,0.5,0.5,0,0.942978299463755,0.0835172430641756,0.353227873306845,-3998.72879820352,127.761946059197,0.00805084745762713
"SST","weak",1.5,5,"DC-SBM",4,4.75,0.5,0.75,0.25,0,0.935366670398218,0.0841844610179446,0.282657424362936,-3990.17004949927,132.911668568378,0.00621468926553673
"SST","weak",1.5,8,"SST",4,8,0,1,0,0,0.990004259685945,0.01999148062811,0.036129310262738,-3697.73415482544,60.1521835607997,0.0509887005649716
"SST","weak",1.5,8,"WST",4,8,0,1,0,0,0.990004259685945,0.01999148062811,0.036129310262738,-3693.1399428698,82.3431597277063,0.0094632768361582
"SST","weak",1.5,8,"DC-SBM",4,8,0,1,0,0,0.990004259685945,0.01999148062811,0.036129310262738,-3673.69224941498,89.670269618878,0.0056497175141243
"SST","weak",3,3,"SST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-4777.64376602956,464.103401946892,0.00932203389830507
"SST","weak",3,3,"WST",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-4778.15720426794,462.776961846289,0.00607344632768362
"SST","weak",3,3,"DC-SBM",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-4777.51026085697,464.412716213299,0.00692090395480226
"SST","weak",3,5,"SST",4,5,0,1,0,0,0.989303843364757,0.021392313270486,0.041883202211766,-4961.97787224768,217.70476435667,0.028954802259887
"SST","weak",3,5,"WST",4,5,0,1,0,0,0.989303843364757,0.021392313270486,0.041883202211766,-4975.77076944818,224.857500801684,0.00112994350282486
"SST","weak",3,5,"DC-SBM",4,4.75,0.5,0.75,0.25,0,0.934580130100532,0.130839739798935,0.1,-4961.80275408652,234.837043657707,0.000282485875706215
"SST","weak",3,8,"SST",4,8,0,1,0,0,1,0,0,-5177.06598871284,221.651008962907,0.0129943502824859
"SST","weak",3,8,"WST",4,8,0,1,0,0,1,0,0,-5185.65814297843,195.301193287689,0.00225988700564972
"SST","weak",3,8,"DC-SBM",4,8,0,1,0,0,1,0,0,-5175.26354066867,214.392031947918,0.000282485875706215
"SST","weak",6,3,"SST",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-6479.87753129883,708.828469454838,0.00254237288135593
"SST","weak",6,3,"WST",4,2.75,0.5,0.75,0.25,0,1,0,0.166666666666667,-6485.09809417803,680.654841292117,0.00254237288135594
"SST","weak",6,3,"DC-SBM",4,2.75,0.5,0.75,0.25,0,1,0,0.166666666666667,-6484.22790135577,680.621731854692,0.000706214689265537
"SST","weak",6,5,"SST",4,5,0,1,0,0,1,0,0,-6270.68690300537,259.625071767587,0.000706214689265538
"SST","weak",6,5,"WST",4,5,0,1,0,0,1,0,0,-6276.1662140764,260.24930203754,0
"SST","weak",6,5,"DC-SBM",4,5,0,1,0,0,1,0,0,-6269.63014082212,259.043192144508,0
"SST","weak",6,8,"SST",4,8,0,1,0,0,1,0,0,-6134.2114521301,236.628497431448,0.000141242937853107
"SST","weak",6,8,"WST",4,7.75,0.5,0.75,0.25,0,1,0,0.0583333333333333,-6188.80967146367,198.248496474844,0
"SST","weak",6,8,"DC-SBM",4,8,0,1,0,0,1,0,0,-6148.44094309945,239.002645276165,0
"SST","strong",0.75,3,"SST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-2644.71071236624,361.139827161678,0.0211864406779661
"SST","strong",0.75,3,"WST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-2642.82190478713,360.545456289733,0.00494350282485877
"SST","strong",0.75,3,"DC-SBM",4,3,0,1,0,0,1,0,4.44089209850063e-16,-2640.94838593823,361.764347271478,0.0194915254237288
"SST","strong",0.75,5,"SST",4,5,0,1,0,0,0.947450345467729,0.0400191411146321,0.208412976696025,-2529.34557035672,181.866150762507,0.0480225988700565
"SST","strong",0.75,5,"WST",4,4.5,0.577350269189626,0.5,0.5,0,0.825344041786773,0.148200190374416,0.491722830747135,-2556.02491308499,205.439545793347,0.00960451977401128
"SST","strong",0.75,5,"DC-SBM",4,4.75,0.5,0.75,0.25,0,0.968817732253646,0.0393957737003086,0.224646572272493,-2513.37852027805,182.342177062658,0.0124293785310735
"SST","strong",0.75,8,"SST",4,9,0.816496580927726,0.25,0,0.75,0.819478276396291,0.148788413019453,0.570317273987206,-3245.84314464613,595.580568658853,0.109604519774012
"SST","strong",0.75,8,"WST",4,5.5,1.73205080756888,0.25,0.75,0,0.676036205853733,0.231078103921012,0.89924446023677,-2338.93233444824,22.8820616793351,0.00677966101694915
"SST","strong",0.75,8,"DC-SBM",4,7,0.816496580927726,0.25,0.75,0,0.800468163187721,0.165223416810504,0.50440662839816,-2249.79116813101,27.3276892209563,0.0176553672316384
"SST","strong",1.5,3,"SST",4,3,0,1,0,0,0.975416666666667,0.0491666666666665,0.0954656523719856,-3306.44836820707,593.891258792634,0.0100282485875706
